Index,Name,R DMX,G DMX,B DMX,W DMX,A DMX,sR,sG,sB,Brightness,Brightness Name,Color Group,Category,Temperature
363,R=85 (Dim) + G=85 (Dim) + B=255 (Full) + W=0 (Off) + A=170 (Mid),85,85,255,0,170,170,148,255,170,Mid,blue,cool,cool
364,R=85 (Dim) + G=85 (Dim) + B=255 (Full) + W=0 (Off) + A=255 (Full),85,85,255,0,255,212,180,255,170,Mid,pastel cyan,cool,neutral
377,R=85 (Dim) + G=170 (Mid) + B=0 (Off) + W=0 (Off) + A=0 (Off),85,170,0,0,0,85,170,0,85,Dim,yellow-green,warm,very-warm
378,R=85 (Dim) + G=170 (Mid) + B=0 (Off) + W=0 (Off) + A=85 (Dim),85,170,0,0,85,127,201,0,170,Mid,yellow-green,warm,very-warm
379,R=85 (Dim) + G=170 (Mid) + B=0 (Off) + W=0 (Off) + A=170 (Mid),85,170,0,0,170,170,233,0,170,Mid,yellow-green,warm,very-warm
380,R=85 (Dim) + G=170 (Mid) + B=0 (Off) + W=0 (Off) + A=255 (Full),85,170,0,0,255,212,255,0,255,Full,yellow-green,warm,very-warm
505,R=170 (Mid) + G=0 (Off) + B=0 (Off) + W=0 (Off) + A=0 (Off),170,0,0,0,0,170,0,0,85,Dim,red,warm,very-warm
506,R=170 (Mid) + G=0 (Off) + B=0 (Off) + W=0 (Off) + A=85 (Dim),170,0,0,0,85,212,31,0,85,Dim,red-orange,warm,very-warm
507,R=170 (Mid) + G=0 (Off) + B=0 (Off) + W=0 (Off) + A=170 (Mid),170,0,0,0,170,255,63,0,85,Dim,red-orange,warm,very-warm
508,R=170 (Mid) + G=0 (Off) + B=0 (Off) + W=0 (Off) + A=255 (Full),170,0,0,0,255,255,95,0,170,Mid,red-orange,warm,very-warm
509,R=170 (Mid) + G=0 (Off) + B=0 (Off) + W=85 (Dim) + A=0 (Off),170,0,0,85,0,212,42,42,85,Dim,red,warm,very-warm
510,R=170 (Mid) + G=0 (Off) + B=0 (Off) + W=85 (Dim) + A=85 (Dim),170,0,0,85,85,255,74,42,85,Dim,red-orange,warm,very-warm
